aX,aY,aZ,gX,gY,gZ
0.175,0.253,0.884,2.136,2.625,-4.700
0.170,0.266,0.912,4.944,4.150,-4.822
0.157,0.277,0.924,7.446,6.775,-4.272
0.148,0.277,0.922,8.606,9.216,-3.357
0.136,0.279,0.926,7.263,10.498,-2.808
0.127,0.275,0.934,5.371,10.620,-1.831
0.122,0.261,0.937,2.930,10.071,-1.221
0.117,0.257,0.946,0.977,8.728,-0.732
0.113,0.250,0.947,-0.671,6.653,-0.122
0.117,0.238,0.956,-3.174,3.052,-0.183
0.127,0.240,0.946,-7.019,-0.183,-0.549
0.124,0.250,0.942,-9.155,-2.258,-0.610
0.124,0.248,0.922,-8.484,-2.258,-1.221
0.131,0.250,0.888,-7.568,-1.221,-1.709
0.141,0.247,0.879,-7.141,-0.916,-1.953
0.146,0.248,0.897,-6.226,-0.793,-2.258
0.152,0.248,0.901,-3.723,0.977,-2.319
0.159,0.254,0.908,-0.610,2.747,-1.648
0.150,0.255,0.934,0.854,2.808,-1.160
0.141,0.252,0.958,1.465,2.441,-0.916
0.138,0.254,0.961,1.831,1.526,-0.244
0.139,0.250,0.950,1.404,-0.305,0.244
0.138,0.244,0.939,-0.061,-2.075,0.061
0.140,0.238,0.921,-1.099,-2.991,0.427
0.148,0.238,0.902,-2.625,-3.479,0.244
0.148,0.228,0.891,-4.211,-3.296,-0.366
0.148,0.237,0.886,-6.287,-2.930,-1.343
0.152,0.233,0.876,-7.812,-2.258,-2.258
0.155,0.235,0.876,-9.094,-1.526,-2.869
0.163,0.244,0.893,-9.155,-0.732,-3.052
0.148,0.250,0.886,-8.606,-1.587,-3.235
0.133,0.262,0.933,-8.972,-2.869,-3.540
0.138,0.273,0.926,-7.263,-0.793,-3.540
0.141,0.281,0.918,-5.432,-0.488,-3.296

0.493,-0.383,-1.651,12.939,190.735,-150.879
0.664,-0.298,-1.546,35.339,236.633,-159.485
0.856,-0.299,-1.414,51.758,278.503,-160.706
1.010,-0.386,-1.311,61.157,315.613,-154.480
1.088,-0.476,-1.283,67.322,347.107,-140.503
1.125,-0.585,-1.230,76.416,371.094,-125.793
1.150,-0.706,-1.184,89.539,392.456,-116.882
1.219,-0.748,-1.079,107.178,415.466,-116.882
1.339,-0.638,-0.884,128.723,444.031,-125.916
1.429,-0.485,-0.489,149.597,474.548,-143.982
1.671,-0.319,0.058,162.537,509.521,-162.598
1.811,-0.094,0.752,171.875,542.236,-170.776
1.976,0.238,1.360,188.721,562.683,-163.696
2.264,0.566,2.060,217.834,561.707,-143.250
2.150,0.963,3.504,208.923,521.973,-102.112
1.485,1.272,4.000,152.283,472.107,-41.687
1.029,1.269,4.000,120.239,435.974,11.780
0.864,0.918,4.000,46.021,372.192,38.452
0.860,0.667,3.815,-30.334,291.382,33.508
0.899,0.591,3.500,-84.778,224.121,16.479
0.825,0.212,2.304,-81.543,220.825,0.427
1.013,0.797,1.182,-135.742,139.282,7.751
-0.398,1.093,4.000,-218.201,-124.084,1.160
0.443,0.731,2.876,17.090,146.545,-5.676
0.439,0.914,1.746,42.236,285.645,-0.366
0.311,0.838,2.190,-41.992,185.669,-14.282
0.322,0.718,2.446,-96.680,90.027,-29.968
0.282,0.669,2.208,-107.361,78.979,-38.269
0.266,0.661,1.916,-88.745,86.304,-37.476
0.249,0.593,1.628,-60.974,85.571,-32.959
0.275,0.546,1.513,-32.898,81.848,-27.039
0.289,0.442,1.441,-5.188,77.148,-21.912
0.313,0.354,1.326,14.954,74.768,-19.226
0.326,0.274,1.118,26.306,68.420,-17.090
0.281,0.187,1.140,26.428,53.711,-13.794
0.249,0.130,1.156,28.442,46.021,-9.766
0.204,0.035,0.990,29.480,40.894,-6.592
0.177,0.016,1.098,27.832,32.349,-4.578
0.172,-0.053,0.920,30.579,23.926,-4.333
0.221,-0.078,0.775,30.273,3.296,-5.615
0.206,-0.054,0.799,18.738,-43.030,-11.536
0.219,0.003,0.890,-0.854,-96.741,-19.958
0.162,0.115,1.081,-22.278,-125.549,-26.917
0.203,0.196,1.096,-34.546,-103.638,-31.616
0.256,0.247,1.090,-27.954,-62.866,-32.104
0.276,0.280,0.943,-23.193,-44.678,-29.541
0.232,0.338,0.959,-32.410,-45.288,-25.330
0.234,0.412,1.035,-44.800,-42.847,-20.325
0.226,0.475,1.073,-47.058,-33.203,-16.113
0.222,0.486,1.030,-37.109,-17.639,-12.024
0.218,0.509,0.962,-32.410,-8.179,-8.484
0.233,0.475,0.916,-34.607,-5.615,-7.080
0.239,0.424,0.891,-36.438,-8.240,-6.653
0.250,0.409,0.883,-36.438,-11.658,-6.531
0.246,0.399,0.898,-32.593,-14.526,-6.287
0.233,0.409,0.908,-24.292,-14.771,-4.883
0.225,0.412,0.912,-15.259,-10.498,-3.540
0.225,0.419,0.908,-8.179,-3.479,-2.441
0.227,0.421,0.876,-3.784,2.441,-1.526
0.201,0.416,0.862,-2.380,5.066,-0.732
0.188,0.394,0.856,-3.845,7.202,-0.427
0.185,0.355,0.851,-4.639,10.132,0.488
0.167,0.312,0.828,-4.883,9.033,1.770
0.157,0.286,0.872,-5.188,5.371,2.625
0.166,0.273,0.870,-4.883,4.333,2.441
0.166,0.276,0.895,-4.089,1.892,2.075
0.184,0.275,0.900,-3.113,-0.122,1.343
0.177,0.297,0.886,-2.075,-2.197,0.977
0.171,0.318,0.868,-0.977,-2.686,0.366
0.198,0.341,0.856,-0.732,-2.563,0.732
0.192,0.347,0.891,-1.709,-4.333,0.549
0.190,0.339,0.891,-1.099,-3.723,0.610
0.192,0.329,0.892,1.587,-1.770,2.136
0.190,0.319,0.898,4.517,-0.610,3.296
0.179,0.306,0.916,5.981,-0.183,3.845
0.160,0.311,0.928,7.324,-0.488,4.761
0.152,0.318,0.930,8.789,-1.709,5.676
0.147,0.333,0.947,7.629,-4.089,5.493
0.143,0.328,0.938,5.737,-5.920,4.883
0.146,0.322,0.923,2.136,-6.470,3.784
0.148,0.323,0.903,-1.099,-6.653,2.075
0.156,0.318,0.881,-2.319,-6.592,1.221
0.158,0.322,0.873,-2.808,-6.165,1.404
0.160,0.327,0.869,-2.441,-5.249,1.404
0.158,0.337,0.879,-1.404,-5.005,1.953
0.156,0.342,0.882,-0.488,-4.517,2.441
0.156,0.342,0.869,-0.366,-3.906,2.808
0.155,0.339,0.906,-1.343,-4.578,2.869
0.163,0.340,0.892,-2.136,-3.723,2.197
0.145,0.340,0.883,-3.235,-2.441,1.404
0.188,0.329,0.888,-3.235,-0.244,1.160
0.174,0.325,0.884,-3.723,-2.441,0.916
0.165,0.319,0.901,-4.089,-3.113,1.099
0.178,0.306,0.860,-1.892,-1.953,1.892
0.172,0.305,0.859,-0.671,-3.784,2.502
0.166,0.313,0.864,-0.732,-6.165,2.319
0.168,0.316,0.845,-0.732,-6.409,2.441
0.168,0.313,0.844,-0.793,-5.615,2.136
0.155,0.318,0.861,-1.343,-6.653,2.075
0.159,0.308,0.858,-1.160,-6.165,2.075
0.151,0.315,0.848,0.305,-5.066,1.953
0.148,0.328,0.867,1.587,-5.798,2.258
0.146,0.333,0.888,1.465,-5.310,1.953
0.155,0.331,0.849,0.061,-2.380,0.916
0.151,0.323,0.842,-2.014,-2.686,-0.061
0.147,0.333,0.870,-3.723,-5.066,-1.038
0.147,0.330,0.856,-4.333,-4.395,-2.075
