aX,aY,aZ,gX,gY,gZ
-0.211,-0.999,-0.069,-3.357,1.770,-0.488
-0.206,-0.998,-0.080,-3.479,0.793,-0.549
-0.203,-0.994,-0.087,-3.174,-0.549,-0.427
-0.200,-0.991,-0.088,-3.418,-1.465,0.000
-0.199,-0.988,-0.083,-3.845,-2.014,0.427
-0.200,-0.982,-0.077,-4.456,-2.502,0.610
-0.202,-0.980,-0.076,-4.822,-2.747,0.854
-0.207,-0.981,-0.070,-4.822,-2.747,1.099
-0.209,-0.979,-0.062,-4.639,-2.502,1.160
-0.213,-0.987,-0.059,-4.639,-1.648,1.343
-0.213,-0.991,-0.056,-4.700,-1.160,1.282
-0.209,-0.997,-0.055,-4.517,-1.221,1.099
-0.207,-1.000,-0.055,-3.906,-1.587,1.038
-0.203,-1.001,-0.058,-3.052,-1.709,0.916
-0.201,-1.003,-0.066,-2.136,-1.465,0.671
-0.202,-1.007,-0.067,-1.343,-1.343,0.427
-0.203,-1.008,-0.063,-0.610,-1.099,0.183
-0.204,-1.005,-0.060,-0.549,-0.732,0.000
-0.204,-1.001,-0.061,-0.671,-0.610,-0.427
-0.204,-0.998,-0.070,-0.610,-0.610,-0.793
-0.203,-0.993,-0.074,-0.427,-0.671,-0.916
-0.205,-0.992,-0.073,-0.305,-0.793,-0.916
-0.207,-0.992,-0.070,-0.305,-0.793,-0.488
-0.206,-0.993,-0.062,0.122,-1.038,-0.366
-0.208,-0.996,-0.058,0.488,-1.404,-0.305
-0.209,-0.998,-0.057,0.549,-1.526,-0.366
-0.209,-0.996,-0.061,0.488,-1.404,-0.366
-0.209,-0.997,-0.062,0.061,-1.160,-0.183
-0.208,-0.992,-0.062,-0.305,-0.793,-0.061
-0.207,-0.991,-0.063,-0.549,-0.366,0.000
-0.207,-0.993,-0.067,-0.549,0.061,-0.061
-0.204,-0.995,-0.073,-0.977,0.000,0.000
-0.205,-0.997,-0.069,-1.343,-0.244,-0.122
-0.207,-1.000,-0.067,-1.465,-0.305,0.122
-0.208,-1.000,-0.069,-1.465,-0.366,0.305
-0.210,-0.998,-0.066,-1.099,-0.916,0.366
-0.211,-0.995,-0.063,-0.854,-0.854,0.122
-0.207,-0.999,-0.059,-0.488,-0.854,0.122
-0.206,-0.999,-0.055,-0.305,-0.671,-0.061
-0.205,-1.000,-0.053,-0.061,-0.671,-0.122
-0.205,-0.998,-0.059,0.000,-0.610,-0.183
-0.205,-0.999,-0.064,0.000,-0.610,-0.122
-0.205,-0.998,-0.065,0.732,-0.793,-0.305
-0.205,-0.997,-0.067,0.977,-0.793,-0.061
-0.206,-0.993,-0.066,0.732,-0.732,-0.061
-0.206,-0.994,-0.069,0.427,-0.793,-0.061
-0.208,-0.994,-0.069,-0.061,-1.038,0.183
-0.208,-0.991,-0.068,-0.793,-1.221,0.061
-0.209,-0.993,-0.061,-1.404,-1.221,0.061
-0.213,-0.997,-0.057,-1.648,-0.977,0.061
-0.212,-1.000,-0.053,-2.014,-0.061,0.061
-0.210,-1.003,-0.056,-1.770,0.549,0.000
-0.207,-1.005,-0.056,-1.221,0.977,-0.061
-0.204,-1.006,-0.056,-0.732,0.916,-0.366
-0.203,-1.007,-0.057,-0.549,0.305,-0.671
-0.208,-1.003,-0.065,-0.610,-0.427,-0.671
-0.209,-0.999,-0.070,-1.038,-0.977,-0.732
-0.207,-0.995,-0.074,-1.099,-1.099,-0.671
-0.208,-0.991,-0.076,-0.793,-1.160,-0.549
-0.208,-0.990,-0.076,-0.366,-1.099,-0.305
-0.206,-0.988,-0.075,-0.244,-1.099,-0.183
-0.203,-0.985,-0.071,-0.427,-1.221,-0.061
-0.202,-0.989,-0.065,-0.793,-1.221,-0.122
-0.203,-0.990,-0.060,-1.282,-1.038,0.122
-0.203,-0.989,-0.054,-1.953,-0.732,0.122
-0.203,-0.992,-0.052,-2.747,-0.305,0.122
-0.203,-0.990,-0.052,-3.296,0.061,0.427
-0.208,-0.997,-0.058,-4.028,0.366,0.671
-0.206,-0.997,-0.059,-2.625,0.366,0.732
-0.205,-0.999,-0.057,-1.343,0.183,0.793
-0.204,-0.998,-0.065,-1.465,0.000,0.854
-0.204,-1.000,-0.068,-1.587,-0.549,0.732
-0.207,-1.000,-0.065,-1.282,-1.038,0.488
-0.208,-1.001,-0.060,-1.221,-1.343,0.244

0.221,-2.144,0.898,63.049,174.988,-60.791
0.605,-2.199,-1.406,-37.537,138.000,-109.070
0.047,-1.048,-0.690,-21.912,65.674,-52.063
-0.529,-0.749,0.143,43.823,-35.156,-6.775
-0.992,-0.412,-0.200,-23.743,-28.381,13.794
-0.539,-0.987,-0.343,-40.344,-21.118,-5.310
-0.237,-1.118,-0.089,-26.917,-24.963,-10.376
-0.053,-0.990,-0.132,-16.296,-26.306,-1.343
-0.066,-0.917,-0.054,-6.470,-27.954,-2.014
-0.101,-0.916,0.066,4.333,-29.907,-5.432
