aX,aY,aZ,gX,gY,gZ
1.819,0.561,-0.506,-281.555,644.775,72.754
1.932,0.602,0.063,-328.491,629.822,54.871
1.909,0.695,0.631,-371.582,589.783,32.959
1.935,0.856,1.108,-402.893,531.799,16.602
2.160,0.926,1.737,-399.536,469.666,1.709
2.183,0.916,2.399,-353.943,412.903,-24.475
2.087,0.954,2.627,-265.198,363.159,-53.284
1.952,0.990,2.399,-151.611,310.425,-70.496
1.937,1.003,2.054,-59.509,264.587,-66.223
1.944,0.972,1.817,-12.817,229.736,-44.006
1.957,0.923,1.754,-0.916,205.933,-19.775
2.069,0.922,1.704,-10.864,200.439,-4.822
2.053,0.942,1.847,-45.837,207.947,4.517
1.870,1.036,2.055,-100.830,215.515,11.963
1.985,1.016,2.407,-141.724,212.585,18.066
1.924,1.177,2.433,-150.635,201.721,36.255
1.890,1.021,2.396,-125.854,197.327,52.246
1.916,0.843,2.370,-79.956,181.824,56.030
1.916,0.769,2.457,-45.166,153.687,51.270
1.740,0.632,2.290,-32.288,124.084,37.659
1.567,0.568,2.052,-17.944,80.627,25.879
1.418,0.525,1.828,2.380,32.959,20.569
1.278,0.446,1.608,27.100,-2.136,15.137
1.184,0.439,1.711,39.917,-18.677,9.460
1.068,0.387,1.064,25.452,-6.531,1.892
0.859,0.337,1.041,12.085,-8.118,-6.409
0.774,0.411,0.950,22.522,-19.409,-11.108
0.589,0.431,0.891,25.818,-33.386,-12.451
0.484,0.446,0.775,23.743,-36.194,-13.245
0.387,0.474,0.691,19.531,-33.752,-10.925
0.345,0.502,0.630,11.475,-28.320,-6.104
0.322,0.497,0.609,5.371,-19.958,-0.427
0.306,0.483,0.617,1.770,-12.512,5.859
0.328,0.452,0.610,0.793,-6.836,10.315
0.373,0.421,0.613,0.305,-2.380,13.184
0.436,0.379,0.667,0.427,0.488,15.625
0.506,0.375,0.710,-1.160,-0.427,16.113
0.547,0.400,0.743,-5.005,-4.211,14.771
0.561,0.409,0.757,-8.484,-8.789,14.038
0.574,0.398,0.729,-9.644,-13.306,13.977
0.580,0.394,0.715,-7.690,-17.090,13.916
0.583,0.385,0.688,-4.150,-18.066,13.428
0.592,0.371,0.658,-0.427,-16.602,12.512
0.586,0.355,0.653,1.770,-14.099,11.597
0.589,0.348,0.635,2.563,-11.475,11.169
0.595,0.340,0.654,0.549,-8.850,10.803
0.617,0.314,0.692,-2.258,-7.507,9.705
0.634,0.315,0.745,-4.150,-7.812,8.667
0.639,0.321,0.787,-5.371,-10.925,7.324
0.633,0.329,0.812,-4.089,-14.954,5.615
0.608,0.352,0.816,-1.770,-18.250,3.784
0.575,0.364,0.808,1.526,-20.386,3.052
0.547,0.371,0.792,4.883,-23.132,3.540
0.538,0.364,0.780,7.935,-26.001,4.150
0.540,0.350,0.761,11.169,-25.696,4.333
0.547,0.346,0.744,13.733,-22.034,4.395
0.549,0.345,0.747,16.235,-16.602,4.456
0.550,0.330,0.750,18.372,-10.376,4.333
0.552,0.322,0.756,18.311,-5.371,4.272
0.549,0.314,0.759,15.076,-2.380,4.028
0.543,0.302,0.750,10.681,-0.549,3.235
0.538,0.296,0.772,7.080,-0.122,2.014
0.544,0.300,0.784,4.761,-0.732,0.366
0.531,0.328,0.803,5.310,-2.441,-1.770
0.508,0.346,0.796,7.690,-4.395,-3.357
0.498,0.361,0.780,10.071,-7.263,-3.723
0.497,0.373,0.763,11.475,-11.414,-3.113
0.493,0.373,0.751,12.451,-14.038,-2.075
0.496,0.363,0.740,13.550,-14.404,-1.221
0.499,0.355,0.739,14.038,-13.916,-0.916
0.496,0.348,0.744,13.611,-12.878,-0.793
0.487,0.330,0.746,13.306,-11.475,-0.305
0.488,0.310,0.740,12.817,-10.498,0.244
0.492,0.299,0.733,11.597,-9.277,0.183
0.481,0.308,0.740,10.071,-8.240,-0.366
0.461,0.320,0.737,7.751,-7.935,-0.427
0.459,0.332,0.744,2.991,-9.644,0.061
0.464,0.345,0.772,-1.953,-12.878,1.099
0.473,0.349,0.793,-3.174,-15.198,2.319
0.484,0.343,0.805,-0.793,-16.235,3.052
0.496,0.335,0.814,4.333,-15.503,2.991
0.498,0.328,0.810,10.925,-13.550,2.136
0.503,0.323,0.802,16.113,-11.353,0.916
0.501,0.320,0.799,18.799,-9.644,-0.061
0.488,0.323,0.793,18.860,-8.301,-0.854
0.486,0.322,0.797,17.334,-7.202,-1.343
0.483,0.326,0.808,14.038,-7.141,-1.160
0.481,0.327,0.817,10.864,-8.484,-0.366
0.483,0.320,0.816,8.606,-10.010,0.488
0.484,0.314,0.810,7.812,-10.864,0.671
0.488,0.312,0.798,8.240,-10.437,0.549
0.480,0.313,0.793,8.667,-8.240,0.488
0.479,0.311,0.797,8.423,-5.676,0.488
0.471,0.316,0.807,7.935,-4.211,0.488
0.467,0.322,0.816,7.751,-2.991,0.732
0.464,0.317,0.823,8.301,-1.343,1.099
0.470,0.309,0.823,9.644,0.061,1.587
0.473,0.305,0.820,11.658,1.282,1.831
0.474,0.299,0.809,12.573,2.075,1.892
0.482,0.292,0.809,11.230,1.282,1.831
0.487,0.288,0.818,8.362,-0.854,1.709
0.490,0.288,0.821,5.920,-3.052,1.343
0.482,0.293,0.820,4.578,-4.333,0.732
0.478,0.294,0.817,5.066,-5.066,0.305
0.478,0.292,0.810,5.493,-5.737,-0.244
0.474,0.291,0.801,6.104,-6.165,-0.488
0.470,0.287,0.791,7.446,-5.554,-0.366
0.470,0.282,0.786,8.484,-4.639,0.000
0.476,0.281,0.784,8.484,-4.028,0.244
0.476,0.290,0.784,8.118,-3.174,0.122
0.465,0.289,0.769,7.690,-1.953,0.000
0.462,0.287,0.733,4.822,-2.136,0.244
0.458,0.291,0.744,0.122,-3.540,1.038

-0.013,0.331,-2.559,-8.545,282.288,34.058
0.066,0.416,-2.587,-54.443,328.186,41.321
0.197,0.561,-2.440,-114.807,379.578,51.758
0.377,0.706,-2.165,-176.270,434.204,62.439
0.579,0.795,-1.797,-227.905,486.389,72.021
0.767,0.829,-1.324,-264.771,532.898,80.017
1.123,0.848,-0.985,-292.908,571.289,83.801
1.358,0.807,-0.398,-321.899,594.727,78.674
1.510,0.854,0.085,-337.585,601.379,65.918
1.574,0.708,0.531,-340.149,585.510,43.884
1.656,0.666,0.925,-326.660,553.894,27.344
1.628,0.699,1.165,-303.833,514.343,14.709
1.593,0.691,1.395,-275.146,476.318,1.404
1.566,0.686,1.593,-241.760,442.322,-10.071
1.525,0.614,1.734,-203.857,407.654,-20.691
1.675,0.586,1.790,-166.504,375.183,-26.123
2.042,0.550,2.000,-143.677,352.417,-24.475
2.212,0.556,2.406,-145.020,332.153,-23.437
2.153,0.610,2.641,-154.663,301.392,-30.212
1.952,0.666,2.950,-150.818,247.864,-39.124
1.709,0.747,2.865,-143.188,194.397,-45.166
1.482,0.803,2.477,-145.203,154.663,-50.720
1.271,0.778,2.186,-134.949,123.657,-55.847
1.057,0.813,1.964,-109.314,105.591,-56.458
0.886,0.851,1.761,-85.449,102.661,-55.664
0.773,0.951,1.659,-70.435,104.187,-53.955
0.694,1.091,1.634,-65.186,105.835,-47.974
0.637,1.172,1.679,-63.843,105.225,-35.706
0.565,1.254,1.575,-56.091,102.417,-19.714
0.643,1.115,1.769,-35.767,91.736,-3.540
0.739,1.053,1.773,-5.005,85.754,10.986
0.760,0.980,1.746,15.076,90.820,27.954
0.797,0.824,1.498,30.273,105.286,38.940
0.830,0.637,1.252,53.528,110.413,43.945
0.815,0.535,1.293,72.021,106.079,44.128
0.874,0.340,0.860,90.332,100.708,42.053
0.877,0.250,1.139,90.942,61.890,41.321
0.914,0.246,1.099,64.148,42.725,36.499
