aX,aY,aZ,gX,gY,gZ
0.503,1.190,0.215,-178.162,-51.514,-145.935
0.467,0.874,0.421,-181.335,-58.777,-174.072
0.402,0.444,0.671,-173.218,-67.078,-209.229
0.331,-0.055,0.968,-144.958,-76.782,-245.789
0.288,-0.552,1.243,-103.577,-78.552,-276.733
0.299,-0.949,1.397,-71.411,-69.397,-290.955
0.293,-1.389,1.455,-63.660,-49.072,-286.743
0.276,-1.901,1.457,-71.106,-19.836,-269.409
0.272,-2.400,1.414,-69.336,6.348,-246.948
0.296,-2.789,1.289,-46.814,23.254,-221.191
0.341,-2.981,1.069,-20.569,34.424,-187.866
0.332,-3.036,0.802,-10.132,40.771,-144.714
0.332,-2.981,0.526,-20.203,46.753,-91.248
0.419,-2.802,0.336,-45.776,52.673,-34.119
0.513,-2.594,0.231,-70.007,53.406,11.230
0.575,-2.380,0.225,-76.172,45.715,37.598
0.618,-2.210,0.269,-49.866,33.875,44.556
0.633,-2.116,0.304,2.991,22.156,37.231
0.603,-2.012,0.289,61.523,11.902,25.452
0.563,-1.943,0.252,107.117,4.639,19.165
0.531,-1.874,0.207,128.723,2.197,23.743
0.499,-1.806,0.139,130.859,2.441,40.039
0.486,-1.682,0.099,124.023,3.296,64.392
0.472,-1.485,0.045,115.784,3.174,89.355
0.475,-1.333,0.036,113.281,1.343,109.009
0.483,-1.176,0.035,115.234,-3.296,123.901
0.474,-1.023,0.057,121.887,-9.033,135.132
0.488,-0.860,0.106,131.165,-15.747,142.273
0.502,-0.709,0.152,141.541,-23.315,146.423
0.509,-0.581,0.226,154.236,-31.738,149.231
0.521,-0.418,0.315,169.006,-40.100,152.649
0.516,-0.216,0.421,185.059,-47.363,158.020
0.539,0.017,0.563,196.655,-52.551,165.833
0.577,0.258,0.702,194.336,-51.208,176.819
0.562,0.468,0.766,176.575,-42.358,190.674
