aX,aY,aZ,gX,gY,gZ
-0.892,-0.421,-0.282,-6.226,2.319,-0.610
-0.888,-0.431,-0.273,-6.897,2.441,-1.465
-0.883,-0.437,-0.270,-7.507,2.930,-2.136
-0.880,-0.441,-0.262,-7.263,3.357,-2.258
-0.874,-0.438,-0.257,-8.057,4.395,-2.563
-0.873,-0.431,-0.254,-8.789,5.798,-2.686
-0.872,-0.419,-0.256,-8.423,7.874,-2.258
-0.874,-0.403,-0.261,-7.874,10.925,-1.831
-0.873,-0.385,-0.265,-8.179,14.160,-1.343
-0.868,-0.372,-0.265,-9.460,17.212,-0.183
-0.860,-0.364,-0.260,-11.963,19.775,0.610
-0.853,-0.358,-0.245,-13.672,22.217,1.892
-0.849,-0.353,-0.226,-13.000,23.987,3.601
-0.844,-0.359,-0.210,-9.766,23.560,4.761
-0.841,-0.360,-0.179,-7.507,20.325,4.944
-0.841,-0.395,-0.155,-4.517,13.977,4.089
-0.839,-0.430,-0.134,-2.380,7.324,1.709
-0.847,-0.458,-0.134,-0.244,2.808,-0.854
-0.862,-0.474,-0.135,2.380,1.526,-2.502
-0.872,-0.475,-0.143,4.822,2.686,-3.235
-0.885,-0.472,-0.148,6.165,4.883,-3.418
-0.897,-0.464,-0.148,7.935,6.470,-2.625
-0.903,-0.453,-0.150,8.423,6.836,-2.136
-0.906,-0.443,-0.153,7.996,5.737,-1.953
-0.906,-0.431,-0.164,6.592,3.601,-2.075
-0.908,-0.423,-0.176,4.822,1.404,-2.869
-0.908,-0.410,-0.186,3.418,0.061,-3.906
-0.913,-0.395,-0.197,3.540,-0.183,-4.333
-0.916,-0.383,-0.207,3.723,0.183,-4.639
-0.916,-0.370,-0.214,3.235,0.793,-4.456
-0.917,-0.361,-0.220,2.502,1.221,-4.089
-0.912,-0.357,-0.222,1.770,1.648,-3.479
-0.909,-0.359,-0.224,0.732,2.075,-2.686
-0.904,-0.361,-0.220,-0.061,2.197,-1.465
-0.895,-0.367,-0.219,-0.732,2.625,-0.366
-0.890,-0.376,-0.217,-1.526,2.991,0.610
-0.882,-0.387,-0.212,-2.808,2.991,1.038
-0.875,-0.396,-0.206,-4.211,2.747,0.671
-0.873,-0.401,-0.200,-5.005,2.991,-0.122
-0.875,-0.402,-0.195,-4.517,3.479,-0.610
-0.879,-0.401,-0.187,-4.089,3.906,-1.221
-0.884,-0.397,-0.183,-3.784,3.784,-1.892
-0.889,-0.396,-0.179,-4.211,3.418,-2.258
-0.893,-0.395,-0.176,-4.700,3.052,-2.319
-0.898,-0.393,-0.172,-4.944,2.930,-1.892

0.012,0.344,2.307,36.072,-106.384,8.301
-0.007,0.343,2.297,58.289,-135.010,22.156
-0.018,0.330,2.224,80.261,-161.438,35.034
-0.029,0.308,2.125,99.548,-183.716,45.471
-0.021,0.285,2.011,116.211,-199.402,53.711
0.000,0.254,1.918,127.808,-207.642,59.753
0.021,0.220,1.861,129.639,-208.496,63.416
0.030,0.194,1.853,121.826,-205.322,65.125
0.055,0.177,1.884,108.887,-202.271,63.538
0.082,0.163,1.944,95.581,-201.721,59.326
0.086,0.141,1.996,87.219,-205.200,54.871
0.056,0.133,1.994,89.111,-215.088,51.392
0.028,0.146,1.901,101.135,-231.750,50.659
0.005,0.160,1.736,118.225,-250.549,54.993
0.019,0.170,1.560,132.935,-266.113,62.134
0.033,0.182,1.395,140.137,-274.658,68.909
0.017,0.149,1.248,138.916,-278.320,70.251
0.017,0.057,1.142,132.385,-280.334,66.223
0.058,-0.018,1.136,120.605,-283.203,58.105
0.062,-0.052,1.156,109.802,-285.522,47.913
0.047,-0.076,1.117,104.553,-292.358,37.476
0.057,-0.091,1.026,105.225,-303.589,31.433
0.060,-0.084,0.906,109.741,-315.918,31.189
0.098,-0.124,0.792,119.141,-329.468,33.813
0.139,-0.131,0.649,130.859,-344.543,36.499
0.198,-0.134,0.454,145.630,-359.314,40.283
0.260,-0.155,0.232,162.048,-370.483,44.189
0.329,-0.120,0.037,174.194,-372.864,45.898
0.344,-0.111,-0.139,177.612,-365.906,42.480
0.319,-0.136,-0.377,175.781,-352.661,33.020
0.305,-0.153,-0.599,168.396,-337.341,20.203
0.288,-0.148,-0.811,156.616,-318.054,8.362
0.274,-0.132,-1.003,142.456,-294.189,-0.610
0.242,-0.111,-1.108,126.587,-266.357,-5.676
0.176,-0.113,-1.178,109.070,-234.314,-9.766
0.101,-0.135,-1.192,90.515,-203.430,-15.503
0.025,-0.143,-1.166,71.167,-176.697,-22.827
-0.046,-0.159,-1.094,54.443,-153.503,-30.518
-0.155,-0.171,-1.005,40.222,-133.057,-36.743
-0.268,-0.168,-0.910,29.358,-115.845,-40.833
-0.347,-0.136,-0.816,19.897,-103.333,-42.297
-0.413,-0.123,-0.752,11.475,-94.177,-40.771
-0.473,-0.154,-0.689,3.845,-84.229,-37.170
-0.537,-0.183,-0.615,1.892,-72.510,-31.860
-0.589,-0.200,-0.569,8.179,-60.974,-27.222
-0.619,-0.206,-0.565,19.897,-53.467,-23.499
-0.647,-0.212,-0.612,28.992,-50.415,-20.813
-0.671,-0.203,-0.691,29.541,-50.293,-18.372
-0.693,-0.186,-0.770,23.071,-49.500,-16.663
-0.705,-0.185,-0.818,14.526,-44.495,-15.442
-0.764,-0.162,-0.826,5.188,-35.767,-14.282
-0.797,-0.203,-0.766,-3.601,-24.109,-15.076
-0.839,-0.229,-0.662,-14.648,-12.695,-17.334
-0.867,-0.238,-0.550,-23.499,-5.005,-18.982
-0.878,-0.244,-0.466,-28.076,-0.549,-18.860
-0.882,-0.269,-0.417,-27.649,3.174,-15.076
-0.882,-0.301,-0.391,-22.461,9.827,-7.446
-0.875,-0.327,-0.380,-14.648,19.531,1.648
-0.859,-0.359,-0.357,-8.728,29.236,9.583
-0.837,-0.387,-0.307,-5.676,35.095,14.893
-0.828,-0.409,-0.231,-5.737,34.973,15.198
-0.837,-0.433,-0.154,-5.310,28.442,10.498
-0.858,-0.447,-0.103,-4.517,17.883,2.686
-0.878,-0.460,-0.081,-4.028,7.690,-4.944
-0.906,-0.470,-0.095,-2.808,1.038,-9.705
-0.924,-0.468,-0.124,0.671,-1.282,-10.437
-0.938,-0.462,-0.149,5.371,-0.061,-8.301
-0.960,-0.446,-0.188,10.498,3.174,-4.761
-0.957,-0.425,-0.208,14.282,5.798,-1.282
-0.947,-0.397,-0.221,15.015,5.981,0.854
-0.942,-0.372,-0.231,13.611,3.723,0.671
-0.937,-0.349,-0.249,11.719,-0.244,-1.099
-0.926,-0.319,-0.276,8.545,-4.639,-3.723
-0.930,-0.293,-0.303,5.859,-8.911,-6.531
-0.937,-0.283,-0.325,4.028,-11.047,-8.545
-0.940,-0.262,-0.341,3.296,-11.230,-9.338
-0.944,-0.253,-0.354,2.319,-10.254,-8.728
